date,country,country_code,project,access,article,qid,views
2017-02-11,Hong Kong,HK,zh.wikipedia,293080,U2B,Q866,478
2017-02-11,Canada,CA,en.wikipedia,3524766,YouTube,Q866,1115
2017-02-11,United States of America,US,es.wikipedia,362760,YouTube,Q866,756
2017-02-11,United States of America,US,pt.wikipedia,330581,YouTube,Q866,524
2017-02-11,Indonesia,ID,en.wikipedia,7529378,Facebook,Q355,1370
2017-02-11,Cote d'Ivoire,CI,en.wikipedia,7529378,Facebook,Q355,471
2017-02-11,Ukraine,UA,ru.wikipedia,275424,YouTube,Q866,2217
2017-02-11,Morocco,MA,ar.wikipedia,232568,ÙÙØ³_Ø¨ÙÙ,Q355,639
2017-02-11,Colombia,CO,en.wikipedia,7529378,Facebook,Q355,533
2017-02-11,India,IN,en.wikipedia,32058867,WhatsApp,Q1049511,3239
2017-02-11,Poland,PL,pl.wikipedia,553300,YouTube,Q866,1039
2017-02-11,Italy,IT,it.wikipedia,3771348,WhatsApp,Q1049511,471
2017-02-11,France,FR,en.wikipedia,7529378,Facebook,Q355,2612
2017-02-11,Ukraine,UA,ru.wikipedia,919912,Facebook,Q355,669
2017-02-11,United Kingdom,GB,en.wikipedia,3524766,YouTube,Q866,2264
2017-02-11,Ukraine,UA,ru.wikipedia,3419486,Instagram,Q209330,454
2017-02-11,Mexico,MX,es.wikipedia,4779374,WhatsApp,Q1049511,542
2017-02-11,Australia,AU,en.wikipedia,7529378,Facebook,Q355,458
2017-02-11,Japan,JP,ja.wikipedia,986542,Facebook,Q355,2545
2017-02-11,Japan,JP,ja.wikipedia,2479550,Instagram,Q209330,4314
2017-02-11,Japan,JP,ja.wikipedia,894212,YouTube,Q866,3688
2017-02-11,Colombia,CO,es.wikipedia,362760,YouTube,Q866,542
2017-02-11,Brazil,BR,en.wikipedia,7529378,Facebook,Q355,1121
2017-02-11,Morocco,MA,fr.wikipedia,776823,YouTube,Q866,484
2017-02-11,United States of America,US,en.wikipedia,3524766,YouTube,Q866,22811
2017-02-11,Canada,CA,en.wikipedia,31591547,Instagram,Q209330,470
2017-02-11,Colombia,CO,es.wikipedia,1019739,Facebook,Q355,891
2017-02-11,Indonesia,ID,id.wikipedia,102474,YouTube,Q866,1927
2017-02-11,France,FR,fr.wikipedia,3252248,Facebook,Q355,5141
2017-02-11,Argentina,AR,es.wikipedia,1019739,Facebook,Q355,748
2017-02-11,Indonesia,ID,id.wikipedia,782695,Instagram,Q209330,580
2017-02-11,Mexico,MX,es.wikipedia,362760,YouTube,Q866,1891
2017-02-11,Spain,ES,es.wikipedia,362760,YouTube,Q866,824
2017-02-11,United Kingdom,GB,en.wikipedia,9988187,Twitter,Q918,606
2017-02-11,Peru,PE,es.wikipedia,1019739,Facebook,Q355,512
2017-02-11,United States of America,US,en.wikipedia,32058867,WhatsApp,Q1049511,2445
2017-02-11,Germany,DE,de.wikipedia,2426353,Twitter,Q918,1099
2017-02-11,India,IN,hi.wikipedia,81787,à¤«à¥à¤¸à¤¬à¥à¤,Q355,496
2017-02-11,United Kingdom,GB,en.wikipedia,7529378,Facebook,Q355,1292
2017-02-11,United Kingdom,GB,en.wikipedia,31591547,Instagram,Q209330,847
2017-02-11,United States of America,US,en.wikipedia,31591547,Instagram,Q209330,3003
2017-02-11,India,IN,en.wikipedia,3524766,YouTube,Q866,2122
2017-02-11,Argentina,AR,es.wikipedia,362760,YouTube,Q866,982
2017-02-11,Italy,IT,it.wikipedia,2763155,YouTube,Q866,2003
2017-02-11,France,FR,fr.wikipedia,5969224,Instagram,Q209330,637
2017-02-11,France,FR,fr.wikipedia,776823,YouTube,Q866,2161
2017-02-11,Poland,PL,pl.wikipedia,722829,Facebook,Q355,777
2017-02-11,United States of America,US,en.wikipedia,33548254,Twitch.tv,Q4555537,637
